Ticker,Value,,
RIO,0.0491,,
MSFT,0.084,,
NVDA,0.1605,,
HD,0.0442,,
AAPL,0.0541,,
ET,0.0848,,
IP,0.0363,,
TGT,0.0449,,
NEE,0.0188,,
CMRE,0.0478,,
QCOM,0.0862,,
BAC,0.0125,,
VTRS,0.0121,,
MELI,0.0664,,
CRWD,0.0556,,
FCEL,0.0092,,
PLUG,0.0065,,
AMZN,0.0948,,
SOFI,0.007,,
