Ticker,Value
MMM,0.002008032
AOS,0.002008032
ABT,0.002008032
ABBV,0.002008032
ACN,0.002008032
ADBE,0.002008032
AMD,0.002008032
AES,0.002008032
AFL,0.002008032
A,0.002008032
APD,0.002008032
ABNB,0.002008032
AKAM,0.002008032
ALB,0.002008032
ARE,0.002008032
ALGN,0.002008032
ALLE,0.002008032
LNT,0.002008032
ALL,0.002008032
GOOGL,0.002008032
GOOG,0.002008032
MO,0.002008032
AMZN,0.002008032
AMCR,0.002008032
AEE,0.002008032
AAL,0.002008032
AEP,0.002008032
AXP,0.002008032
AIG,0.002008032
AMT,0.002008032
AWK,0.002008032
AMP,0.002008032
AME,0.002008032
AMGN,0.002008032
APH,0.002008032
ADI,0.002008032
ANSS,0.002008032
AON,0.002008032
APA,0.002008032
AAPL,0.002008032
AMAT,0.002008032
APTV,0.002008032
ACGL,0.002008032
ADM,0.002008032
ANET,0.002008032
AJG,0.002008032
AIZ,0.002008032
T,0.002008032
ATO,0.002008032
ADSK,0.002008032
ADP,0.002008032
AZO,0.002008032
AVB,0.002008032
AVY,0.002008032
AXON,0.002008032
BKR,0.002008032
BALL,0.002008032
BAC,0.002008032
BK,0.002008032
BBWI,0.002008032
BAX,0.002008032
BDX,0.002008032
BBY,0.002008032
BIO,0.002008032
TECH,0.002008032
BIIB,0.002008032
BLK,0.002008032
BX,0.002008032
BA,0.002008032
BKNG,0.002008032
BWA,0.002008032
BXP,0.002008032
BSX,0.002008032
BMY,0.002008032
AVGO,0.002008032
BR,0.002008032
BRO,0.002008032
BLDR,0.002008032
BG,0.002008032
CDNS,0.002008032
CZR,0.002008032
CPT,0.002008032
CPB,0.002008032
COF,0.002008032
CAH,0.002008032
KMX,0.002008032
CCL,0.002008032
CARR,0.002008032
CTLT,0.002008032
CAT,0.002008032
CBOE,0.002008032
CBRE,0.002008032
CDW,0.002008032
CE,0.002008032
COR,0.002008032
CNC,0.002008032
CNP,0.002008032
CF,0.002008032
CHRW,0.002008032
CRL,0.002008032
SCHW,0.002008032
CHTR,0.002008032
CVX,0.002008032
CMG,0.002008032
CB,0.002008032
CHD,0.002008032
CI,0.002008032
CINF,0.002008032
CTAS,0.002008032
CSCO,0.002008032
C,0.002008032
CFG,0.002008032
CLX,0.002008032
CME,0.002008032
CMS,0.002008032
KO,0.002008032
CTSH,0.002008032
CL,0.002008032
CMCSA,0.002008032
CMA,0.002008032
CAG,0.002008032
COP,0.002008032
ED,0.002008032
STZ,0.002008032
CEG,0.002008032
COO,0.002008032
CPRT,0.002008032
GLW,0.002008032
CTVA,0.002008032
CSGP,0.002008032
COST,0.002008032
CTRA,0.002008032
CCI,0.002008032
CSX,0.002008032
CMI,0.002008032
CVS,0.002008032
DHR,0.002008032
DRI,0.002008032
DVA,0.002008032
DAY,0.002008032
DE,0.002008032
DAL,0.002008032
XRAY,0.002008032
DVN,0.002008032
DXCM,0.002008032
FANG,0.002008032
DLR,0.002008032
DFS,0.002008032
DG,0.002008032
DLTR,0.002008032
D,0.002008032
DPZ,0.002008032
DOV,0.002008032
DOW,0.002008032
DHI,0.002008032
DTE,0.002008032
DUK,0.002008032
DD,0.002008032
EMN,0.002008032
ETN,0.002008032
EBAY,0.002008032
ECL,0.002008032
EIX,0.002008032
EW,0.002008032
EA,0.002008032
ELV,0.002008032
LLY,0.002008032
EMR,0.002008032
ENPH,0.002008032
ETR,0.002008032
EOG,0.002008032
EPAM,0.002008032
EQT,0.002008032
EFX,0.002008032
EQIX,0.002008032
EQR,0.002008032
ESS,0.002008032
EL,0.002008032
ETSY,0.002008032
EG,0.002008032
EVRG,0.002008032
ES,0.002008032
EXC,0.002008032
EXPE,0.002008032
EXPD,0.002008032
EXR,0.002008032
XOM,0.002008032
FFIV,0.002008032
FDS,0.002008032
FICO,0.002008032
FAST,0.002008032
FRT,0.002008032
FDX,0.002008032
FIS,0.002008032
FITB,0.002008032
FSLR,0.002008032
FE,0.002008032
FI,0.002008032
FLT,0.002008032
FMC,0.002008032
F,0.002008032
FTNT,0.002008032
FTV,0.002008032
FOXA,0.002008032
FOX,0.002008032
BEN,0.002008032
FCX,0.002008032
GRMN,0.002008032
IT,0.002008032
GEHC,0.002008032
GEN,0.002008032
GNRC,0.002008032
GD,0.002008032
GE,0.002008032
